Código: 5863 | Descrição: MOE - Impermeabilizações / Cortinas | Unidade: m2 | Preço unitário: 23.65 | Data do preço: 14/05/2024 | Ativo: Sim
Código: 5865 | Descrição: MOE - Impermeabilizações / Esquadrias | Unidade: m | Preço unitário: 15 | Data do preço: 14/05/2024 | Ativo: Sim
Código: 5864 | Descrição: MOE - Impermeabilizações / Esquadrias | Unidade: un | Preço unitário: 0 | Data do preço: 14/05/2024 | Ativo: Sim
Código: 5866 | Descrição: MOE - Impermeabilizações / Floreiras | Unidade: m2 | Preço unitário: 0 | Data do preço: 14/05/2024 | Ativo: Sim
Código: 5867 | Descrição: MOE - Impermeabilizações / Garagens | Unidade: m2 | Preço unitário: 23.65 | Data do preço: 14/05/2024 | Ativo: Sim
Código: 5868 | Descrição: MOE - Impermeabilizações / Piscinas | Unidade: m2 | Preço unitário: 0 | Data do preço: 14/05/2024 | Ativo: Sim
Código: 5869 | Descrição: MOE - Impermeabilizações / Poço Elevador | Unidade: m2 | Preço unitário: 23.65 | Data do preço: 14/05/2024 | Ativo: Sim
Código: 5870 | Descrição: MOE - Impermeabilizações / Proteção Mecânica | Unidade: m2 | Preço unitário: 23 | Data do preço: 14/05/2024 | Ativo: Sim
Código: 5871 | Descrição: MOE - Impermeabilizações / Reservatórios | Unidade: m2 | Preço unitário: 0 | Data do preço: 14/05/2024 | Ativo: Sim
Código: 5872 | Descrição: MOE - Impermeabilizações / Sacadas e Terraços | Unidade: m2 | Preço unitário: 23.65 | Data do preço: 14/05/2024 | Ativo: Sim
Código: 5873 | Descrição: MOE - Infraestrutura-Implantação / Bocas de Lobo/Poços de Visita | Unidade: un | Preço unitário: 0 | Data do preço: 14/05/2024 | Ativo: Sim
Código: 5874 | Descrição: MOE - Infraestrutura-Implantação / Caixas de Areia | Unidade: un | Preço unitário: 0 | Data do preço: 14/05/2024 | Ativo: Sim
Código: 5875 | Descrição: MOE - Infraestrutura-Implantação / Caixas de Inspeção, Passagem e Gordura | Unidade: un | Preço unitário: 0 | Data do preço: 14/05/2024 | Ativo: Sim
Código: 5876 | Descrição: MOE - Infraestrutura-Implantação / Caixas de Passagem Elétricas | Unidade: un | Preço unitário: 0 | Data do preço: 14/05/2024 | Ativo: Sim
Código: 6096 | Descrição: MOE - Infraestrutura-Implantação / Calçada em Concreto | Unidade: m2 | Preço unitário: 0 | Data do preço: 14/05/2024 | Ativo: Sim
Código: 5877 | Descrição: MOE - Infraestrutura-Implantação / Concregrama | Unidade: m2 | Preço unitário: 0 | Data do preço: 14/05/2024 | Ativo: Sim
Código: 5878 | Descrição: MOE - Infraestrutura-Implantação / Escavação e Abertura de Valas | Unidade: m3 | Preço unitário: 0 | Data do preço: 14/05/2024 | Ativo: Sim
Código: 5879 | Descrição: MOE - Infraestrutura-Implantação / Instalação Postes | Unidade: un | Preço unitário: 0 | Data do preço: 14/05/2024 | Ativo: Sim
