idx_entrada;entrada_descricao;entrada_unidade;codigo_sugerido;descricao_catalogo;unidade_catalogo;score
219;Tubo de PVC Rígido Soldável Marrom, conforme NBR 5648;;5402;Tubo PVC Soldavel - 60 mm;m;0.863
220;Tubo de PVC Rígido Branco, conforme NBR5688, Linha Série Normal;;5400;Tubo PVC Soldavel - 40 mm;m;0.8051
221;Tubo de PVC Rígido Branco, conforme NBR5688, Linha Série Normal;;5402;Tubo PVC Soldavel - 60 mm;m;0.8024
222;Tubo de PVC Rígido Branco, conforme NBR5688, Linha Série Normal;;5402;Tubo PVC Soldavel - 60 mm;m;0.8141
223;Tubo de PVC Rígido Branco, conforme NBR5688, Linha Série Normal;;5402;Tubo PVC Soldavel - 60 mm;m;0.8162
225;Tubo de PVC Rígido Soldável Marrom, conforme NBR 5648;;5402;Tubo PVC Soldavel - 60 mm;m;0.8584
226;Tubo de PVC Rígido Soldável Marrom, conforme NBR 5648;;2932;Bracadeira para Tubo PVC Soldavel - 25 mm;un;0.8701
227;Tubo de PVC Rígido Soldável Marrom, conforme NBR 5648;;5402;Tubo PVC Soldavel - 60 mm;m;0.8789
228;Tubo de PVC Rígido Soldável Marrom, conforme NBR 5648;;5402;Tubo PVC Soldavel - 60 mm;m;0.8748
231;Tubo de PVC Rígido Soldável Marrom, conforme NBR 5648;;2932;Bracadeira para Tubo PVC Soldavel - 25 mm;un;0.8812
232;Tubo de PVC Rígido Branco, conforme NBR5688, Linha Série Normal;;5402;Tubo PVC Soldavel - 60 mm;m;0.8102
233;Tubo de PVC Rígido Branco, conforme NBR5688, Linha Série Normal;;5402;Tubo PVC Soldavel - 60 mm;m;0.8096
234;Tubo de PVC Rígido Branco, conforme NBR5688, Linha Série Normal;;5402;Tubo PVC Soldavel - 60 mm;m;0.8067
235;Tubo de PVC Rígido Branco, conforme NBR5688, Linha Série Normal;;5402;Tubo PVC Soldavel - 60 mm;m;0.8169
236;Tubo de PVC Rígido Branco, conforme NBR5688, Linha Série Normal;;5402;Tubo PVC Soldavel - 60 mm;m;0.8019
237;Tubo de PVC Rígido Branco, conforme NBR5688, Linha Série Normal;;5402;Tubo PVC Soldavel - 60 mm;m;0.8177
238;Tubo de PVC Rígido Branco, conforme NBR5688, Linha Série Normal;;5400;Tubo PVC Soldavel - 40 mm;m;0.8083
239;Tubo de PVC Rígido Branco, conforme NBR5688, Linha Série Normal;;5402;Tubo PVC Soldavel - 60 mm;m;0.8153
240;Tubo de PVC Rígido Branco, conforme NBR5688, Linha Série Normal;;5402;Tubo PVC Soldavel - 60 mm;m;0.8111
241;Tubo de PVC Rígido Branco, conforme NBR5688, Linha Série Normal;;5392;"Tubo PVC Roscavel - 3/4""";m;0.8051
242;Tubo de PVC Rígido Branco, conforme NBR5688, Linha Série Normal;;5402;Tubo PVC Soldavel - 60 mm;m;0.8162
243;Tubo de PVC Rígido Branco, conforme NBR5688, Linha Série Normal;;2932;Bracadeira para Tubo PVC Soldavel - 25 mm;un;0.81
244;Tubo de PVC Rígido Soldável Marrom, conforme NBR 5648;;2932;Bracadeira para Tubo PVC Soldavel - 25 mm;un;0.87
245;Tubo de PVC Rígido Soldável Marrom, conforme NBR 5648;;5402;Tubo PVC Soldavel - 60 mm;m;0.8507
246;Tubo de PVC Rígido Branco, conforme NBR5688, Linha Série Normal;;5400;Tubo PVC Soldavel - 40 mm;m;0.8051
248;Tubo de PVC Rígido Branco, conforme NBR5688, Linha Série Normal;;5400;Tubo PVC Soldavel - 40 mm;m;0.81
249;Tubo de PVC Rígido Branco, conforme NBR5688, Linha Série Normal;;5402;Tubo PVC Soldavel - 60 mm;m;0.8162
251;Tubo de PVC Rígido Soldável Marrom, conforme NBR 5648;;2932;Bracadeira para Tubo PVC Soldavel - 25 mm;un;0.8603
252;Tubo de PVC Rígido Soldável Marrom, conforme NBR 5648;;2932;Bracadeira para Tubo PVC Soldavel - 25 mm;un;0.8701
253;Tubo de PVC Rígido Soldável Marrom, conforme NBR 5648;;5402;Tubo PVC Soldavel - 60 mm;m;0.8789
254;Tubo de PVC Rígido Soldável Marrom, conforme NBR 5648;;5402;Tubo PVC Soldavel - 60 mm;m;0.8748
257;Tubo de PVC Rígido Soldável Marrom, conforme NBR 5648;;2932;Bracadeira para Tubo PVC Soldavel - 25 mm;un;0.8812
